read_0	712342	713337
read_1	771653	772655
read_2	309962	310961
read_3	75931	76937
read_4	900476	901466
read_5	910489	911485
read_6	743038	744042
read_7	992240	993240
read_8	101572	102582
read_9	49878	50874
read_10	316244	317250
read_11	751936	752934
read_12	91566	92576
read_13	467184	468192
read_14	239427	240422
read_15	400261	401255
read_16	551922	552921
read_17	725505	726512
read_18	387937	388933
read_19	22565	23565
read_20	339937	340938
read_21	98832	99828
read_22	841596	842595
read_23	199893	200889
read_24	880658	881655
read_25	905720	906717
read_26	926546	927548
read_27	719191	720195
read_28	683655	684662
read_29	704764	705770
read_30	435123	436129
read_31	596720	597717
read_32	882461	883457
read_33	903251	904249
read_34	380754	381754
read_35	343360	344362
read_36	997347	998349
read_37	408691	409695
read_38	783352	784350
read_39	118345	119343
read_40	751770	752772
read_41	409821	410822
read_42	844654	845652
read_43	302279	303283
read_44	145408	146410
read_45	597644	598640
read_46	179047	180053
read_47	430915	431912
read_48	852953	853947
read_49	54634	55636
read_50	444034	445030
read_51	216272	217265
read_52	327234	328232
read_53	155956	156962
read_54	970965	971968
read_55	137477	138470
read_56	340766	341771
read_57	955794	956798
read_58	303121	304121
read_59	662271	663274
read_60	869628	870622
read_61	86896	87902
read_62	590893	591897
read_63	505549	506555
read_64	366690	367688
read_65	275201	276201
read_66	683454	684458
read_67	140099	141100
read_68	873172	874176
read_69	57427	58433
read_70	267426	268428
read_71	944712	945710
read_72	318294	319293
read_73	430217	431213
read_74	501248	502244
read_75	15866	16864
read_76	369335	370336
read_77	677170	678174
read_78	766458	767454
read_79	922819	923824
read_80	608700	609705
read_81	7943	8937
read_82	387419	388415
read_84	599867	600860
read_85	634004	635002
read_86	81569	82571
read_87	215052	216052
read_88	422654	423654
read_89	429599	430601
read_90	256440	257433
read_91	575658	576668
read_92	582980	583978
read_93	744680	745682
read_94	501346	502348
read_95	307417	308417
read_96	320439	321435
read_97	729281	730281
read_98	442877	443877
read_99	383113	384107
