read_0	51978	52991
read_1	787833	788835
read_2	170757	171760
read_3	728504	729510
read_4	256931	257919
read_5	953284	954290
read_6	616758	617745
read_7	517686	518688
read_8	895484	896483
read_9	877991	878985
read_10	604151	605147
read_11	582234	583240
read_12	853256	854246
read_13	637765	638764
read_14	748481	749469
read_15	328271	329270
read_16	95807	96815
read_17	200244	201230
read_18	600023	601015
read_19	110617	111629
read_20	988143	989151
read_21	377992	378988
read_22	131702	132702
read_23	886950	887944
read_24	240701	241693
read_25	801825	802809
read_26	171230	172232
read_27	728588	729586
read_28	950629	951627
read_29	54792	55800
read_30	46328	47332
read_31	793241	794233
read_32	974776	975772
read_33	776642	777641
read_34	342198	343198
read_35	572892	573896
read_36	510854	511860
read_37	316077	317061
read_38	447232	448240
read_39	339280	340279
read_40	148635	149637
read_41	593295	594297
read_42	348210	349207
read_43	440076	441059
read_44	652143	653142
read_45	379389	380397
read_46	241433	242433
read_47	694263	695267
read_48	18788	19784
read_49	432394	433387
read_50	222500	223494
read_51	28359	29357
read_52	525941	526939
read_53	296798	297786
read_54	492511	493510
read_55	72613	73605
read_56	367310	368316
read_57	132321	133321
read_58	886322	887324
read_59	338587	339587
read_60	877455	878458
read_61	515379	516385
read_62	650145	651141
read_63	417537	418529
read_64	310743	311737
read_65	19274	20277
read_66	551651	552648
read_67	269671	270669
read_68	358100	359092
read_69	505617	506607
read_70	454801	455809
read_71	904461	905465
read_72	178373	179368
read_73	639842	640840
read_74	459800	460790
read_75	969698	970709
read_76	498421	499409
read_77	441570	442576
read_78	283676	284672
read_79	26802	27812
read_80	551884	552887
read_81	345290	346292
read_82	441713	442714
read_83	798083	799086
read_84	257849	258853
read_85	354588	355592
read_86	926482	927491
read_87	39082	40085
read_88	749166	750166
read_89	397386	398394
read_90	881512	882502
read_91	574078	575079
read_92	574755	575746
read_93	334746	335742
read_94	29659	30665
read_95	102082	103086
read_96	447840	448828
read_97	451448	452452
read_98	56271	57267
read_99	2417	3422
